Model,Train R2,Test R2,Train RMSE,Test RMSE,Train MAE,Test MAE
Linear Regression,0.013404301472807467,0.01591924901408437,11.38507923040168,11.435537959049078,9.879098257812693,9.95829216909417
Ridge,0.013404301464346347,0.015919173253161834,11.385079230450499,11.435538399240034,9.879098416347913,9.95829269666556
Lasso,0.005726444748415327,0.006118090797306519,11.429293694364791,11.492344183054557,9.909642164924152,9.999793626203253
Random Forest,0.8563155326967347,-0.018681335737984917,4.344815704522346,11.634839747719905,3.70207028,10.07464541
Gradient Boosting,0.02861710545064977,0.011567760144026384,11.29696216454267,11.460793369945662,9.799101274083053,9.979958753394685
XGBoost,0.26279895967756406,-0.03291725604661555,9.841457428252863,11.715855263169908,8.390951228164674,10.114338309280395
